사업장명,좌표정보(X),좌표정보(Y)
꾸러기분식,212482.0088,449859.2477
의정부부대찌개,211238.8067,449999.2377
전주맛집,211876.0947,447257.0107
신안숯불바베큐,212491.903,447730.8198
천지왕만두.찐빵,211944.9033,447400.2332
이차전,211232.3406,448549.7729
뻘숯불갈비,212548.0489,450047.9899
신화푸드,212068.5306,448392.3934
산꼼장어,212005.3366,448190.8987
감자탕,212574.7407,449187.2526
피자스쿨암사롯데캐슬점,212051.1516,450314.2735
학생회관,212572.3963,449728.4343
키움참치,211821.5168,447094.1278
시골집,211913.937,450122.2532
현우네 양꼬치 본점,215154.5073,449639.4477
열불날개,211093.5817,448340.5023
제트(Z),211241.3541,448484.0268
국민떡볶이,211742.3107,446815.2804
소양골닭갈비,213628.3544,450199.901
천호 산아나고구이,210884.973,448907.7282
한솥도시락(강동구청점),210800.8412,447372.7505
꼴끼닭,212667.2201,449163.9157
바오공 베트남 쌀국수,211452.7782,449647.4256
대박집,211694.1364,449245.8111
킹콩 부대찌개 암사역점,211199.5075,449696.1764
투다리(길동점),212890.3325,448365.6066
삼팔광어땡,211674.7991,449942.8263
최장원닭한마리,211900.4761,449522.0501
귀한족발 둔촌역점,211782.0797,446961.1649
빨간여우떡볶이,211552.0857,448928.7882
제주오두껍,211082.0039,448320.9929
시골집막걸리,212393.807,449511.4303
중화반점,212432.119,447636.0496
투다리,215142.8617,449637.6668
본점안동찜닭&본점마산아구찜,211957.4938,449279.7062
빛고을,214946.2497,450680.439
추담골 남원추어탕,211310.6744,450309.1753
억수로,211833.2121,447111.8922
램니쿠야(둔촌점),211752.4359,447046.875
금강산감자탕,211307.7497,450056.4748
참치의味,210671.4866,447412.1874
이차돌 길동점,212067.7983,448341.0615
들꽃,211692.1946,446959.1813
아람바베큐,211727.0105,448890.818
사쿠사쿠,211553.7741,448992.9607
의정부부대찌개,210660.0227,447578.2441
명동찌개마을,211229.3458,448534.2352
옛날순대국,212679.5845,447888.0789
더위스키,211820.7508,447072.3014
쉐프의생안심탕수육 강동점,211507.9623,447833.1248
곱이랑창이랑,212319.9889,448308.4636
샘밭막국수,211667.2863,446702.3843
산타나,211152.0597,448493.5255
대삼박이,211182.0462,448185.692
왕짜장,212542.0135,448144.7357
고석정,210649.9348,447521.5765
풍년상회,211127.781,448235.4012
로니로티 천호점,211096.9525,448450.5758
단골손님 천호로데오점,211179.6745,448556.7848
웨스턴제이,211792.9494,446975.4894
명동찌개마을,211157.4815,448515.1544
하나(花)돈부리,212561.3393,449532.016
짝태&노가리,211110.487,448541.1625
김밥사랑,212172.8285,448321.3302
돈카춘,212616.9601,448087.9096
충무김밥,211129.8689,449789.7795
성내맛집,211647.3668,447945.4308
버들골이야기,212172.8285,448321.3302
낙지전문점무교동홍낙,211220.341,446942.2691
천호쭈꾸미,211093.2007,448301.8824
유타로천호,211120.215,448515.2173
황도바지락칼국수,213199.3444,448300.7446
그대그리고나,211516.3097,447257.1804
서향,212480.5317,448427.8744
테마라면,212681.625,449827.1015
기와집 양대곱창 성내점,211054.4611,447279.227
장원삼계탕,210872.3254,447332.5399
이모네 막창구이,211071.9726,448641.9362
킹콩부대찌개,212414.1225,447817.5561
부산진오뎅,213676.3191,450194.8557
토크쇼,210948.9806,447789.6048
쏠레,210936.1294,447363.9258
어창수산,215119.5271,449834.5986
알투라,211301.7913,449882.2902
칭구야,211955.9426,449962.104
바른치킨둔촌역점,211835.9812,447143.4316
정가네 부대찌개,212708.3327,447996.9105
버섯잔치집,211039.2902,447345.6707
오조,212656.6403,448972.6611
옛날빈대떡,210964.4605,449250.6938
