name,lat,lon
아람바베큐,37.5421840,127.133466
사쿠사쿠,37.5431052,127.131498
명동찌개마을,37.5389826,127.127825
옛날순대국,37.5331435,127.144221
더위스키,37.5258028,127.134489
쉐프의생안심탕수육 강동점,37.5326633,127.130971
곱이랑창이랑,37.5369325,127.140166
산타나,37.5386142,127.126953
대삼박이,37.5358387,127.127288
왕짜장,37.5354519,127.142675
고석정,37.5298714,127.121259
풍년상회,37.5362899,127.126667
로니로티 천호점,37.5382456,127.126195
단골손님 천호로데오점,37.5391815,127.127260
웨스턴제이,37.5249292,127.134182
명동찌개마을,37.5388123,127.127010
하나(花)돈부리,37.5479484,127.142913
짝태&노가리,37.5390471,127.126479
김밥사랑,37.5370516,127.138492
돈카춘,37.5349373,127.143522
충무김밥,37.5502913,127.126713
성내맛집,37.5336706,127.132546
버들골이야기,37.5370516,127.138492
낙지전문점무교동홍낙,37.5246389,127.127699
천호쭈꾸미,37.5368850,127.126283
유타로천호,37.5388128,127.126592
황도바지락칼국수,37.5368484,127.150111
그대그리고나,37.5274734,127.131053
서향,37.5380026,127.141978
테마라면,37.5506137,127.144277
기와집 양대곱창 성내점,37.5276773,127.125826
장원삼계탕,37.5281570,127.123768
이모네 막창구이,37.5399486,127.126050
킹콩부대찌개,37.5325074,127.141221
부산진오뎅,37.5539062,127.155543
토크쇼,37.5322736,127.124646
팝바쇼(POP BAR SHOW),37.5284355,127.124493
어창수산,37.5506402,127.171866
칭구야,37.5518397,127.136063
정가네 부대찌개,37.5341162,127.144551
버섯잔치집,37.5282721,127.125658
오조,37.5429106,127.143979
옛날빈대떡,37.5454369,127.124837
콤미치킨,37.5608596,127.170373
통파이브 천호롯데씨네마점,37.5364164,127.126373
소금구이집,37.5477342,127.133385
니뽕내뽕,37.5531187,127.128291
명일싱싱회세꼬시,37.5494151,127.144557
오징어나라,37.5385230,127.127960
케리홈치킨,37.5523578,127.132046
튀김마트분식한식,37.5357009,127.137867
장원생고기,37.5601871,127.154798
디자인카페허브,37.5359921,127.150381
비비큐 명일점,37.5492764,127.147431
오마스시,37.5388584,127.126003
생고기전문점,37.5380133,127.132678
훈이네시골밥상,37.5286734,127.137560
두리식당,37.5334921,127.122600
맛있는남도밥상,37.5485934,127.172937
콩나물아가씨,37.5234636,127.131396
김밥천국,37.5295147,127.142381
메차쿠차,37.5283181,127.124753
푸짐한식당,37.5345444,127.140580
진이네떡볶이,37.5504373,127.155570
왕왕맛집,37.5491037,127.148664
카페소어,37.5490543,127.171976
화요일,37.5362569,127.123781
조선제일 쭈꾸미,37.5616992,127.148904
피자굽는집,37.5477212,127.128825
개삼터 오리전문점,37.5498651,127.129303
이차돌 강동구청점,37.5292754,127.122616
히토기라쿠길동점,37.5370516,127.138492
동촌수끼샤브칼국수,37.5284325,127.143216
다올,37.5379948,127.140937
딱좋아,37.5343010,127.132841
동촌,37.5337483,127.143294
국물즉석떡볶이&화덕피자,37.5283185,127.124413
독도참치,37.5492543,127.143414
동아,37.5443747,127.132327
쭉삼이3호점,37.5370563,127.126159
인디오숯불바베큐,37.5395928,127.145772
함지박,37.5307071,127.131895
돈먹소,37.5447354,127.132078
할매순대국,37.5460591,127.140601
SweetSalt(스윗솔트),37.5457630,127.154180
썬더치킨,37.5349331,127.139540
(주)이마트명일점,37.5546627,127.155816
싱싱 오징어 바다,37.5393714,127.126547
마인호프,37.5285144,127.134833
오가네,37.5387503,127.125992
빠사시 둔촌점,37.5341162,127.144551
투다리,37.5536585,127.129084
먹거리마을,37.5309978,127.145370
맛나감자탕,37.5476599,127.143060
야다이,37.5395425,127.126706
최냉면,37.5327328,127.124975
