주소,위도,경도
서울특별시 강동구 고덕로 133,37.5548007,127.1394501
서울특별시 강동구 고덕로83길 26,37.5614902,127.168897
서울특별시 강동구 고덕로80길 123,37.5518119,127.1652728
서울특별시 강동구 고덕로 133,37.5548007,127.1394501
서울특별시 강동구 고덕로 353,37.5543004,127.1430187
서울특별시 강동구 고덕로 133,37.5548007,127.1394501
서울특별시 강동구 아리수로50길 50,37.5588261,127.1488077
서울특별시 강동구 동남로75길 13-7,37.553735,127.1557531
서울특별시 강동구 동남로82길 120,37.5609074,127.1577464
서울특별시 강동구 상암로61길 36,37.54777,127.15257
서울특별시 강동구 고덕로25길 13,37.5555465,127.1364718
서울특별시 강동구 고덕로79길 29,37.5613851,127.1657988
서울특별시 강동구 아리수로 427,37.55978,127.14537
서울특별시 강동구 동남로75길 13-7,37.553735,127.1557531
서울특별시 강동구 동남로75길 13-7,37.553735,127.1557531
서울특별시 강동구 구천면로 640,37.5502967,127.140397
서울특별시 강동구 상일로12길 54-1,37.5537796,127.1725251
서울특별시 강동구 성안로 162,37.53206,127.13276
서울특별시 강동구 고덕로 399,37.5543004,127.1430187
서울특별시 강동구 고덕로83길 28,37.5614902,127.168897
서울특별시 강동구 명일로10나길 28,37.5317693,127.144614
서울특별시 강동구 상일로 55,37.553051,127.1723493
서울특별시 강동구 고덕로62길 66,37.5529581,127.1528256
서울특별시 강동구 고덕로 133,37.5548007,127.1394501
서울특별시 강동구 아리수로93길 9,37.5649416,127.1739152
서울특별시 강동구 구천면로100길 4,37.5495082,127.1717683
서울특별시 강동구 고덕로79길 29,37.5613851,127.1657988
서울특별시 강동구 고덕로13길 20,37.5555704,127.1310095
서울특별시 강동구 고덕로 399,37.5543004,127.1430187
서울특별시 강동구 동남로65길 12,37.5482834,127.1534894
서울특별시 강동구 고덕로80길 123,37.5518119,127.1652728
서울특별시 강동구 고덕로 133,37.5548007,127.1394501
서울특별시 강동구 구천면로 442,37.5502967,127.140397
서울특별시 강동구 구천면로 418,37.5502967,127.140397
서울특별시 강동구 고덕로46길 85,37.5521734,127.1461969
서울특별시 강동구 고덕로 266,37.5543004,127.1430187
서울특별시 강동구 아리수로50길 50,37.5588261,127.1488077
서울특별시 강동구 상암로 125,37.5480751,127.1300518
